FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000041697,Cox6a1,2.181725831,-0.974462736,0.204081466,4.294594989,0.974462736,0.204081466
ENSMUSG00000000402,Egfl6,2.174299024,3.59416296,0.018793936,0.178026936,-3.59416296,0.018793936
ENSMUSG00000049751,Rpl36al,2.173758893,0.387516146,1,1.663210552,-0.387516146,1
ENSMUSG00000092274,Neat1,2.157960049,0.343586151,1,1.702230155,-0.343586151,1
ENSMUSG00000059743,Fdps,2.144726829,1.818076819,0.258762168,0.607242562,-1.818076819,0.258762168
ENSMUSG00000012405,Rpl15,2.141621074,-0.129621418,0.943956523,2.346053594,0.129621418,0.943956523
ENSMUSG00000029632,Ndufa4,2.097870429,-1.010387237,0.187487636,4.23362686,1.010387237,0.187487636
ENSMUSG00000022890,Atp5j,2.087202833,-1.163752112,0.121817614,4.684791013,1.163752112,0.121817614
ENSMUSG00000025786,Zdhhc3,2.08517734,2.292028767,0.139864606,0.424338176,-2.292028767,0.139864606
ENSMUSG00000054619,Mettl7a1,2.076400205,-1.0693949,0.159574301,4.365318018,1.0693949,0.159574301
ENSMUSG00000079435,Rpl36a,2.060331295,0.573662413,1,1.385195885,-0.573662413,1
ENSMUSG00000058558,Rpl5,2.049528667,0.026620067,0.868103966,2.014386974,-0.026620067,0.868103966
ENSMUSG00000028692,Akr1a1,2.023332293,-0.355476514,0.706476394,2.592364834,0.355476514,0.706476394
ENSMUSG00000031770,Herpud1,2.010369139,-0.317894924,0.745121661,2.509448179,0.317894924,0.745121661
ENSMUSG00000034566,Atp5h,2.00523789,-0.613505644,0.460291423,3.072793689,0.613505644,0.460291423
ENSMUSG00000025785,Exosc7,2.004562726,1.235149999,0.525279618,0.851115077,-1.235149999,0.525279618
ENSMUSG00000039197,Adk,2.002132135,2.465442337,0.108836459,0.360931322,-2.465442337,0.108836459
ENSMUSG00000042784,Muc1,1.981202042,2.836560694,0.062650087,0.275575942,-2.836560694,0.062650087
ENSMUSG00000037266,Rsrp1,1.980526878,-0.611811762,0.462264558,3.031335361,0.611811762,0.462264558
ENSMUSG00000062054,Iah1,1.966078363,1.739533038,0.284037222,0.587732761,-1.739533038,0.284037222
